domain,name,type,fakenewscodexc_url,description,url,date
12minutos.com,"12minutos.com",fake,http://www.fakenewscodex.com/fake-site/12minutos-com/,"Spanish clone version of React365, a &quot;prank&quot; website that allows users to create realistic-looking fake articles.",http://www.12minutos.com,"September 20, 2017"
16wmpo.com,"16 WMPO",fake,http://www.fakenewscodex.com/fake-site/16-wmpo/,"Fake news site that is not associated with any TV or radio station, despite the name. The site’s disclaimer page states flatly that the site is a satire and...",http://16wmpo.com,"September 18, 2017"
20minutenews.com,"20MinuteNews",fake,http://www.fakenewscodex.com/fake-site/20minutenews/,"Clickbait site that often includes dubiously sourced or entirely invented stories. The site is part of what BuzzFeed News calls the &quot;Celebtricity Network.&quot;...",http://20minutenews.com,"September 25, 2017"
21stcenturywire.com,"21st Century Wire",fake,http://www.fakenewscodex.com/fake-site/21st-century-wire/,"Genuinely unhinged &quot;alternative news agency&quot; that posts ridiculous conspiracy stories.",http://21stcenturywire.com,"December 5, 2016"
24aktuelles.com,"24aktuelles.com",fake,http://www.fakenewscodex.com/fake-site/24aktuelles-com/,"German Clone version of React365, a &quot;prank&quot; website that allows users to create realistic-looking fake articles.",http://www.24aktuelles.com,"September 20, 2017"
70news.wordpress.com,"70News",fake,http://www.fakenewscodex.com/fake-site/70news/,"Clickbait site with a hard right wing bias. Articles are often extremely poorly sourced, and sometimes entirely false. They received a great deal of media attention in November 2016, when...",https://70news.wordpress.com,"September 21, 2017"
100percentfedup.com,"100 Percent Fed Up",misleading,http://www.fakenewscodex.com/fake-site/100-percent-fed-up/,"Often exaggerates true stories to make them more sensational or to fit a political perspective.",http://100percentfedup.com,"December 5, 2016"
365usanews.com,"365 USA News",fake,http://www.fakenewscodex.com/fake-site/365-usa-news/,"Right-wing fake news site with sensationalized and misleading headlines, very poorly sourced articles.",http://365usanews.com,"December 13, 2016"
abcnews.com.co,"abc NEWS",fake,http://www.fakenewscodex.com/fake-site/abc-news/,"Fake news site with a misleading name and logo. Much of the site’s content is nonsensical filler and appears to be computer generated. Contact information for the site is listed...",http://abcnews.com.co,"December 5, 2016"
abriluno.com,"Abril Uno",satire,http://www.fakenewscodex.com/fake-site/abril-uno/,"Satirical fake news site. From the site’s footer: Abril Uno is a satirical web publication and uses invented names in all its stories, except in cases where public figures or...",http://abriluno.com,"September 23, 2017"
activistpost.com,"Activist Post",misleading,http://www.fakenewscodex.com/fake-site/activist-post/,"Site that posts misleading headlines and exaggerates true stories to be more sensational or to fit a political narrative.",http://www.activistpost.com,"December 5, 2016"
adobochronicles.com,"The Adobo Chronicles",satire,http://www.fakenewscodex.com/fake-site/the-adobo-chronicles/,"Philippine-themed parody news site. From the site’s about page: THE ADOBO CHRONICLES is your source of up-to-date, unbelievable news. Everything you read on this site is based on fact,...",https://adobochronicles.com,"December 5, 2016"
ageofautism.com,"Age of Autism",fake,http://www.fakenewscodex.com/fake-site/age-of-autism/,"Pseudoscientific site focused on links between vaccines and autism.",http://www.ageofautism.com,"December 9, 2016"
alertchild.com,"AlertChild",fake,http://www.fakenewscodex.com/fake-site/alertchild/,"Clickbait site that often includes dubiously sourced or entirely invented stories. The site is part of what BuzzFeed News calls the &quot;Celebtricity Network.&quot;...",http://alertchild.com,"September 25, 2017"
allnews4us.com,"All News 4 USA",fake,http://www.fakenewscodex.com/fake-site/all-news-4-usa/,"Fake news site that mostly publishes content stolen from other fake news sites, such as The Last Line of Defense.",http://allnews4us.com,"September 18, 2017"
allnewspipeline.com,"All News Pipeline",fake,http://www.fakenewscodex.com/fake-site/all-news-pipeline/,"Conspiracy-heavy fake news site. Started by contributors to Before It’s News.",http://allnewspipeline.com,"December 7, 2016"
alternativemediasyndicate.net,"Alternative Media Syndicate",fake,http://www.fakenewscodex.com/fake-site/alternative-media-syndicate/,"Extremely unreliable clickbait website that steals content, often word-for-word, from other sites. They do not check the reliability of their sources, and often remove important context from the stolen content.",http://alternativemediasyndicate.net,"October 4, 2017"
facebook.com/lovetheusaorgtfo,"America – Love It Or Leave It (Facebook Page)",misleading,http://www.fakenewscodex.com/fake-site/america-love-it-or-leave-it-facebook-page/,"A Facebook page that shares content from Freedom Junkshun, As American As Apple Pie, Last Line of Defense, Our Land of the Free and other &quot;satire&quot; sites in the Christopher Blair network...",https://www.facebook.com/lovetheusaorgtfo,"September 11, 2017"
americasfreedomfighters.com,"America’s Freedom Fighters",fake,http://www.fakenewscodex.com/fake-site/americas-freedom-fighters/,"America’s Freedom Fighters is an inflammatory, clickbait website with a hard-right slant. Media Bias/Fact Check calls them a &quot;questionable source&quot; that &quot;has over the top right wing bias&quot; and &quot;publishes...",https://www.americasfreedomfighters.com,"October 3, 2017"
americanflavor.news,"American Flavor",fake,http://www.fakenewscodex.com/fake-site/american-flavor/,"Fake news site that republishes (i.e., steals) content from other, better known fake news sites, such as AsAmericanAsApplePie.org.",http://americanflavor.news,"September 18, 2017"
theamericanmirror.com,"The American Mirror",fake,http://www.fakenewscodex.com/fake-site/the-american-mirror/,"Publishes blatantly false stories and pairs extremely misleading headlines with relatively truthful articles.",http://www.theamericanmirror.com,"December 7, 2016"
americannews.com,"American News",fake,http://www.fakenewscodex.com/fake-site/american-news/,"American News posts stories that are largely or entirely invented, and always with a right-leaning or pro-Trump spin. Media Matters called their Facebook page &quot;perhaps the largest page regularly...",http://americannews.com,"December 5, 2016"
dailynewspostss.com,"American President Donald J. Trump",fake,http://www.fakenewscodex.com/fake-site/american-president-donald-j-trump/,"Yet another fake news site that recycles content from other, better known fake news sites. It is only noteworthy for its ridiculous name.",http://dailynewspostss.com,"September 18, 2017"
americanprides.com,"AmericanPride",fake,http://www.fakenewscodex.com/fake-site/americanpride/,"Fake news site that copies its content from other similar fake sites, such as Our Land of the Free. The site doesn’t even bother to use something other than...",http://americanprides.com,"September 18, 2017"
areyousleep.com,"AreYouSleep",fake,http://www.fakenewscodex.com/fake-site/areyousleep/,"Clickbait site that often includes dubiously sourced or entirely invented stories. The site is part of what BuzzFeed News calls the &quot;Celebtricity Network.&quot;...",http://areyousleep.com,"September 25, 2017"
asamericanasapplepie.org,"As American As Apple Pie",satire,http://www.fakenewscodex.com/fake-site/as-american-as-apple-pie/,"A &quot;satirical&quot; site that exists to trick naive conservative readers into sharing its posts on social media. From the &quot;about&quot; text: As American as Apple Pie is here to be...",http://asamericanasapplepie.org,"September 11, 2017"
atlbanana.com,"The Atlanta Banana",satire,http://www.fakenewscodex.com/fake-site/the-atlanta-banana/,"Parody news site. From the about page: It’s real comedy. That should be enough. All facts are made up, though, as well as all names, most places, and any accolades...",http://www.atlbanana.com,"December 5, 2016"
babylonbee.com,"The Babylon Bee",satire,http://www.fakenewscodex.com/fake-site/the-babylon-bee/,"Religious-themed parody news site.",http://babylonbee.com,"December 5, 2016"
badcriminals.com,"BadCriminals",fake,http://www.fakenewscodex.com/fake-site/badcriminals/,"Clickbait site that often includes dubiously sourced or entirely invented stories. The site is part of what BuzzFeed News calls the &quot;Celebtricity Network.&quot; From the site’s footer: Badcriminals.com is the...",http://badcriminals.com,"September 25, 2017"
thebeaverton.com,"The Beaverton",satire,http://www.fakenewscodex.com/fake-site/the-beaverton/,"Satirical Canadian fake news site.",https://www.thebeaverton.com,"September 18, 2017"
beforeitsnews.com,"Before It’s News",fake,http://www.fakenewscodex.com/fake-site/before-its-news/,"Conspiracy-heavy fake news site. It’s hard to tell if it the writers are genuinely mentally ill or if it’s a cynical attempt to fool people.",http://beforeitsnews.com,"December 5, 2016"
bentspud.com,"bent*spud",satire,http://www.fakenewscodex.com/fake-site/bentspud/,"Satirical fake news site. From the about page: Right, so what’s this tomfoolery all about, you ask? Well, it’s all about being the world’s most reliable source of unreliable...",http://www.bentspud.com,"December 13, 2016"
beyondtheechochamber.com,"Beyond the Echo Chamber",satire,http://www.fakenewscodex.com/fake-site/beyond-the-echo-chamber/,"Satirical website. According to their about page, Beyond the Echo Chamber is &quot;a fictional satire and parody website.&quot;...",http://www.beyondtheechochamber.com,"May 10, 2018"
bigamericannews.com,"Big American News",fake,http://www.fakenewscodex.com/fake-site/big-american-news/,"Publishes false and misleading headlines.",http://bigamericannews.com,"December 5, 2016"
bipartisanreport.com,"Bipartisan Report",misleading,http://www.fakenewscodex.com/fake-site/bipartisan-report/,"Anti-conservative clickbait site that pairs sloppy stories with inflammatory, extremely misleading headlines.",http://bipartisanreport.com,"December 7, 2016"
thebostontribune.com,"Boston Tribune",fake,http://www.fakenewscodex.com/fake-site/boston-tribune/,"Clickbait and fake news site. Generally has a right-wing and populist spin.",http://thebostontribune.com,"December 5, 2016"
breakingnews247.net,"BreakingNews247",fake,http://www.fakenewscodex.com/fake-site/breakingnews247/,"BreakingNews247 is a clone of react365.com, a site that lets users create their own fake news headlines and hoaxes. Like React365, BreakingNews247 was created by Nicolas Gouriou, who also own many other,...",http://www.breakingnews247.net,"September 17, 2017"
breakingnews365.net,"BreakingNews365",fake,http://www.fakenewscodex.com/fake-site/breakingnews365/,"Clone of react365.com, a site that lets users create their own fake news headlines and hoaxes. Like React365, BreakingNews365 was created by Nicolas Gouriou, who also own many other, extremely similar &quot;prank&quot;...",http://www.breakingnews365.net,"September 17, 2017"
brokenworldnews.com,"Broken World News",satire,http://www.fakenewscodex.com/fake-site/broken-world-news/,"Satirical news site.",https://brokenworldnews.com,"December 7, 2016"
bizstandardnews.com,"The Business Standard News",satire,http://www.fakenewscodex.com/fake-site/the-business-standard-news/,"In case the &quot;BS&quot; in the logo wasn’t clear enough, the Business Standard News is a satirical fake news website. From the &quot;About&quot; section of their Facebook page: The...",http://bizstandardnews.com,"April 12, 2017"
callthecops.net,"Call the Cops",satire,http://www.fakenewscodex.com/fake-site/call-the-cops/,"Satirical law-enforcement and first responder-themed site. From their about us page: This site is a satire of the current state of Law Enforcement, Fire Fighting and Emergency Medical work. Stories...",http://www.callthecops.net,"September 14, 2017"
cap-news.com,"CAP News",satire,http://www.fakenewscodex.com/fake-site/cap-news/,"CAP News is a satirical fake news website.",http://www.cap-news.com,"October 3, 2017"
celebtricity.com,"CelebtriCity",fake,http://www.fakenewscodex.com/fake-site/celebtricity/,"Fake news site that purports to be parody, though it seems clear that its intention is to mislead. From their contact page: Celebtricity.com is the most dangerous satire website...",http://www.celebtricity.com,"December 5, 2016"
channel22news.com,"Channel22News",fake,http://www.fakenewscodex.com/fake-site/channel-22-news/,"&quot;Prank&quot; site that allows users to create their own fake news stories and share them on social media. Korry Scherer (aka Korry Tye) is listed as the owner of the...",https://channel22news.com,"September 20, 2017"
channel23news.com,"Channel23News",fake,http://www.fakenewscodex.com/fake-site/channel-23-new/,"&quot;Prank&quot; site that allows users to create their own fake news stories and share them on social media. In May of 2017, a fake story created on the site alleged...",https://channel23news.com,"September 20, 2017"
channel24news.com,"Channel24News",fake,http://www.fakenewscodex.com/fake-site/channel-24-news/,"&quot;Prank&quot; site that allows users to create their own fake news stories and share them on social media. The site is owned by Korry Scherer, who maintains a large number...",https://channel24news.com,"September 20, 2017"
channel28news.com,"Channel28News",fake,http://www.fakenewscodex.com/fake-site/channel28news/,"&quot;Prank&quot; site that allows users to create their own fake news stories and share them on social media. The site is owned by Korry Scherer, who maintains a large number...",https://channel28news.com,"September 20, 2017"
channel33news.com,"Channel33News",fake,http://www.fakenewscodex.com/fake-site/channel-33-news/,"&quot;Prank&quot; site that allows users to create their own fake news stories and share them on social media. The site is owned by Korry Scherer, who maintains a large number...",https://channel33news.com,"September 20, 2017"
channel34news.com,"Channel34News",fake,http://www.fakenewscodex.com/fake-site/channel34news/,"&quot;Prank&quot; site that allows users to create their own fake news stories and share them on social media. The site is owned by Korry Scherer, who maintains a large number...",https://channel34news.com,"September 20, 2017"
channel45news.com,"Channel45News",fake,http://www.fakenewscodex.com/fake-site/channel45news/,"&quot;Prank&quot; site that allows users to create their own fake news stories and share them on social media. The site is owned by Korry Scherer, who maintains a large number...",https://channel45news.com,"September 20, 2017"
christwire.org/,"ChristWire",fake,http://www.fakenewscodex.com/fake-site/christwire/,"Publishes false stories that occasionally verge on parody.",http://christwire.org/,"December 5, 2016"
cityworldnews.com,"CityWorldNews",fake,http://www.fakenewscodex.com/fake-site/cityworldnews/,"Ridiculous fake news site with misleading, often entirely invented headlines. Snopes.com calls it &quot;a fake news web site that does not publish factual stories.&quot;...",http://cityworldnews.com,"December 13, 2016"
civictribune.com,"Civic Tribune",fake,http://www.fakenewscodex.com/fake-site/civic-tribune/,,http://civictribune.com,"December 5, 2016"
clancyreport.com,"Clancy Report",fake,http://www.fakenewscodex.com/fake-site/clancy-report/,"The Clancy Report publishes fake stories, usually about celebrities moving to various towns in the US. Most of the site’s content is fairly innocuous, and it serves as cover to...",http://clancyreport.com,"September 24, 2017"
clashdaily.com,"ClashDaily",fake,http://www.fakenewscodex.com/fake-site/clashdaily/,"Extreme right-wing, clickbait site that publishes articles that are so poorly sourced that all of the content should be considered suspect. For example, in 2016 they posted a video of...",https://clashdaily.com,"October 2, 2017"
clickhole.com,"ClickHole",satire,http://www.fakenewscodex.com/fake-site/clickhole/,"An Onion spinoff that parodies clickbait-style websites.",http://www.clickhole.com,"December 7, 2016"
cnn.com.de,"CNN.com.de",fake,http://www.fakenewscodex.com/fake-site/cnn-com-de/,"A misleading and fake news site with no connection to CNN.com. The site’s M.O. is publishing legitimate-looking stories to cover for their other, totally false articles. While much of the content...",http://cnn.com.de,"April 12, 2017"
cnoticias.net,"CNoticias.net",fake,http://www.fakenewscodex.com/fake-site/cnoticias-net/,"Portuguese clone version of React365, a &quot;prank&quot; website that allows users to create realistic-looking fake articles.",http://www.cnoticias.net,"September 20, 2017"
coasttocoastam.com,"Coast to Coast AM",fake,http://www.fakenewscodex.com/fake-site/coast-to-coast-am/,"Site that mixes conspiracy theories, pseudo-scicence, fake news, and clickbait junk.",http://www.coasttocoastam.com,"December 7, 2016"
collective-evolution.com/,"Collective Evolution",fake,http://www.fakenewscodex.com/fake-site/collective-evolution/,"Collection Evolution is heavy on pseudoscience, conspiracy theories, faddish diet advice and astrology. Some examples of topics that they cover thoroughly: &quot;False-Flag&quot; Operations and Shadow Governments http://www.collective-evolution.com/2016/09/27/false-flag-terrorism-a-history-of-lies-deception-explained-in-a-16-minute-video-911-isnt-the-only-example/ http://www.collective-evolution.com/2016/10/18/15-quotes-on-false-flag-terrorism-the-secret-government-that-will-make-you-rethink-your-patriotism/ Aliens...",http://www.collective-evolution.com/,"April 11, 2017"
conservative101.com,"Conservative 101",fake,http://www.fakenewscodex.com/fake-site/conservative-101/,"An extremely partisan, right wing clickbait-style publication. The articles are often extremely poorly-sourced, and have headlines that are so misleading that they can be fairly be called &quot;fake news&quot;. For...",http://conservative101.com,"September 18, 2017"
conservativedailypost.com,"Conservative Daily Post",fake,http://www.fakenewscodex.com/fake-site/conservative-daily-post/,"Extremely partisan website with misleading and outright false articles, including articles that accuse the Clintons of running a &quot;huge underground sex ring&quot; and stating that the University of Wisconsin...",https://conservativedailypost.com,"March 2, 2017"
conservativefighters.com,"Conservative Fighters",fake,http://www.fakenewscodex.com/fake-site/conservative-fighters/,"Conservative Fighters publishes extremely poorly-sourced and outright false articles with an extreme right-wing slant. The articles are often racially charged, focusing on blacks and muslims. Media Bias/Fact Check calls...",http://conservativefighters.com,"September 17, 2017"
conservativeinfocorner.us,"Conservative Info Corner",fake,http://www.fakenewscodex.com/fake-site/conservative-info-corner/,"Conservative Info Corner publishes entirely invented stories with an extreme right-wing slant. The site has claimed that Malia Obama was expelled from Harvard for using drugs, Arnold Schwarzenegger was stripped...",https://www.conservativeinfocorner.us,"April 12, 2017"
consnation.com,"Conservative Nation",fake,http://www.fakenewscodex.com/fake-site/conservative-nation/,,http://www.consnation.com,"September 12, 2017"
counterpsyops.com,"CounterPsyOps",fake,http://www.fakenewscodex.com/fake-site/counterpsyops/,"Conspiracy-minded site that publishes false, completely unsourced stories.",https://counterpsyops.com,"December 7, 2016"
creambmp.com,"Cream BMP",satire,http://www.fakenewscodex.com/fake-site/cream-bmp/,"Music-themed parody site.",http://creambmp.com,"December 5, 2016"
currentish.com,"Current-ish",satire,http://www.fakenewscodex.com/fake-site/current-ish/,"Over-the-top satirical news site. EmpireHerald.com, another satirical publication, now redirects to the Current-ish site.",https://currentish.com,"September 14, 2017"
dailybuzzlive.com,"Daily Buzz Live",fake,http://www.fakenewscodex.com/fake-site/130/,"Mixes lightweight clickbait stories with completely made up content.",http://dailybuzzlive.com,"December 7, 2016"
dailycurrant.com,"The Daily Currant",satire,http://www.fakenewscodex.com/fake-site/the-daily-currant/,"Infrequently updated parody/satire news site.",http://dailycurrant.com,"December 5, 2016"
dailydiscord.com,"The Daily Discord",satire,http://www.fakenewscodex.com/fake-site/the-daily-discord/,"Satirical news site.",http://www.dailydiscord.com,"December 7, 2016"
dailyfinesser.com,"Daily Finesser",fake,http://www.fakenewscodex.com/fake-site/daily-finesser/,"Clickbait site with mostly &quot;satirical&quot; content, although much is clearly intended to trick gullible readers. The site’s footer describes the content as &quot;outlandish articles&quot; and says that the &quot;Daily Finesser...",https://www.dailyfinesser.com,"September 30, 2017"
thedailyflogger.com,"The Daily Flogger",satire,http://www.fakenewscodex.com/fake-site/the-daily-flogger/,"BDSM-themed satirical news site.",http://www.thedailyflogger.com,"December 7, 2016"
thedailymash.co.uk,"The Daily Mash",satire,http://www.fakenewscodex.com/fake-site/the-daily-mash/,"UK-based satirical news site.",http://www.thedailymash.co.uk,"December 7, 2016"
the-daily-news.co.uk/,"The Daily News",satire,http://www.fakenewscodex.com/fake-site/the-daily-news/,"UK-based satirical news site.",http://www.the-daily-news.co.uk/,"December 13, 2016"
dailynews11.com,"Daily News 11",fake,http://www.fakenewscodex.com/fake-site/daily-news-11/,"Fake news site that published fake stories, usually about celebrities moving to various towns in the US. Most of the site’s content seems fairly innocuous, as it serves as filler...",http://dailynews11.com,"September 24, 2017"
dailypostfeed.com,"Daily Post Feed",fake,http://www.fakenewscodex.com/fake-site/daily-post-feed/,"Fake news site that republishes (i.e., steals) content from other, better-known fake news sites. ...",http://dailypostfeed.com,"September 18, 2017"
dailysquib.co.uk,"The Daily Squib",satire,http://www.fakenewscodex.com/fake-site/the-daily-squib/,"A UK-based satirical &quot;newspaper&quot; in the vein of The Onion. From the footer: The Daily Squib is a curious satirical newspaper offering breaking news, political satire, comedy, opinion and celebrity...",https://www.dailysquib.co.uk,"September 19, 2017"
dailyflashnews.org,"DailyFlashNews",fake,http://www.fakenewscodex.com/fake-site/dailyflashnews/,"DailyFlashNews is a publication that publishes false and extremely misleading articles. These are often republished from other fake news sites.",http://dailyflashnews.org,"December 15, 2017"
dandygoat.com,"Dandy Goat",satire,http://www.fakenewscodex.com/fake-site/dandy-goat/,"Satirical news site. From their disclaimer page: The Dandy Goat is a satirical news publication. We offer our condolences to anyone who has suffered from the actual suspension of...",http://dandygoat.com,"December 14, 2016"
defensepatriot.site,"Defense Patriot",fake,http://www.fakenewscodex.com/fake-site/defense-patriot/,"Fly-by-night website that copies stories from other fake news sites, such as As American as Apple Pie. and The Last Line of Defense.",http://defensepatriot.site,"September 18, 2017"
departed.co,"Departed",fake,http://www.fakenewscodex.com/fake-site/departed/,"Site that published fake and extremely misleading articles intended to appeal to uncritical right-wing readers. For example, in March of 2016 they published an article with the headline &quot;Obama...",http://departed.co,"September 14, 2017"
derfmagazine.com,"Derf Magazine",satire,http://www.fakenewscodex.com/fake-site/derf-magazine/,"Parody news site. From their disclaimer page: DerfMagazine.com is a fictional and satirical publication. The content of Derf should in no way be interpreted as an actual record of...",http://www.derfmagazine.com,"December 5, 2016"
devoutamerica.com,"Devout America",fake,http://www.fakenewscodex.com/fake-site/devout-america/,"A newer addition to the John Crane/Tyler Shapiro clickbait network, Devout America publishes inflammatory, click-bait headlines paired with poorly-written articles that do not necessarily support them. For example, the story &quot;...",http://devoutamerica.com,"September 18, 2017"
disclose.tv,"Disclose.tv",fake,http://www.fakenewscodex.com/fake-site/disclose-tv/,"Ridiculous fake news site that’s heavy on conspiracy theories, pseudoscience and completely invented stories.",http://www.disclose.tv,"December 13, 2016"
drugsofficial.com,"DrugsOfficial",fake,http://www.fakenewscodex.com/fake-site/drugsofficial/,"Clickbait-style fake news site that often includes entirely invented stories. It claims to be &quot;satire&quot; but the content is clearly intended to trick gullible readers. From the site’s contact...",http://drugsofficial.com,"September 25, 2017"
duffelblog.com,"DuffelBlog",satire,http://www.fakenewscodex.com/fake-site/duffelblog/,"Military-themed satirical news site. From the about page: We are in no way, shape, or form, a real news outlet. Everything on this website is satirical and the content...",http://www.duffelblog.com,"December 14, 2016"
duhprogressive.com,"Duh Progressive",satire,http://www.fakenewscodex.com/fake-site/duh-progressive/,"Satirical news site. From their disclaimer: &quot;Duh Progressive is a political satire site. While some of the individual quotes, people and events mentioned on Duh Progressive may be real, most...",http://duhprogressive.com,"December 7, 2016"
empirenews.net/about-disclaimer/,"Empire News",satire,http://www.fakenewscodex.com/fake-site/empire-news/,"&quot;Satire&quot; site that seem designed to mislead the gullible. From their about/disclaimer page: Empire News is intended for entertainment purposes only. Our website and social media content uses only...",http://empirenews.net/about-disclaimer/,"December 7, 2016"
empiresports.co,"Empire Sports",satire,http://www.fakenewscodex.com/fake-site/empire-sports/,"Sports-themed parody news site.",http://www.empiresports.co,"December 7, 2016"
endingthefed.com,"Ending the Fed",fake,http://www.fakenewscodex.com/fake-site/etf-ending-the-fed-news/,"A mixture of false stories and extremely misleading headlines paired with poorly sourced articles. BuzzFeed News reported that Ending the Fed was &quot;remarkably successful, utterly untrustworthy,&quot; and was responsible for...",http://endingthefed.com,"December 6, 2016"
enduringvision.com,"Enduring Vision",satire,http://www.fakenewscodex.com/fake-site/enduring-vision/,,http://www.enduringvision.com,"December 5, 2016"
famousviralstories.com,"Famous Viral Stories",fake,http://www.fakenewscodex.com/fake-site/famous-viral-stories/,"Extremely sordid fake news website. Stories are presented without any legitimate sources, and often stolen from other fake news and clickbait-heavy sites. The site is owned by Kory Scherer (aka...",http://famousviralstories.com,"September 20, 2017"
federalisttribune.com,"Federalist Tribune",fake,http://www.fakenewscodex.com/fake-site/federalist-tribune/,"Federalist Tribune publishes misleading and inflammatory articles with clickbait headlines. The content is often so poorly sourced and misleading that it can be considered false. PolitiFact rates the site as...",https://www.federalisttribune.com,"September 18, 2017"
fmobserver.com,"FM Observer",satire,http://www.fakenewscodex.com/fake-site/fm-observer/,"Satirical news site that focuses on the Fargo-Moorhead area. From their about page: FM Observer provides farcical/satirical news and entertainment for the Fargo-Moorhead and surrounding area, as well as nationally. We...",http://fmobserver.com,"December 13, 2016"
freewoodpost.com,"Free Wood Post",satire,http://www.fakenewscodex.com/fake-site/free-wood-post/,"News satire site. From their disclaimer page: Free Wood Post is a news and political satire web publication, which may or may not use real names, often in semi-real...",http://www.freewoodpost.com,"December 7, 2016"
freedomdaily.com,"Freedom Daily",fake,http://www.fakenewscodex.com/fake-site/freedom-daily/,"Extremely unreliable site that publishes false and very poorly sourced stories, often with misleading headlines that do not match the contents of the articles. For example, they published a story...",http://freedomdaily.com,"April 25, 2017"
freedumjunkshun.com,"Freedum Junkshun",satire,http://www.fakenewscodex.com/fake-site/freedum-junkshun/,"Another &quot;satirical&quot; fake news site from Christopher Blair’s network of fake news websites. From the &quot;about&quot; text: Here we gather a boatload of bullhonkey, works of pure satirical fiction,...",http://freedumjunkshun.com,"September 11, 2017"
